Entity,Code,Year,Observation value - Indicator: Infant mortality rate - Sex: Total - Wealth quintile: Total - Unit of measure: Deaths per 100 live births
United States,USA,1963,2.4366488
United States,USA,1964,2.382448
United States,USA,1965,2.3259373
United States,USA,1966,2.2652695
United States,USA,1967,2.2006624
United States,USA,1968,2.1323707
United States,USA,1969,2.0608602
United States,USA,1970,1.9861469
United States,USA,1971,1.9085722
United States,USA,1972,1.829623
United States,USA,1973,1.7497936
United States,USA,1974,1.6707388
United States,USA,1975,1.5930805
United States,USA,1976,1.5178869
United States,USA,1977,1.4462974
United States,USA,1978,1.3795092
United States,USA,1979,1.3177735
United States,USA,1980,1.2615507
United States,USA,1981,1.2105781
United States,USA,1982,1.1655807
United States,USA,1983,1.1267118
United States,USA,1984,1.0934404
United States,USA,1985,1.064895
United States,USA,1986,1.0399926
United States,USA,1987,1.0164001
United States,USA,1988,0.9926485
United States,USA,1989,0.967253
United States,USA,1990,0.9396675
United States,USA,1991,0.9098077
United States,USA,1992,0.87900174
United States,USA,1993,0.8485362
United States,USA,1994,0.8197298
United States,USA,1995,0.7938148
United States,USA,1996,0.77101624
United States,USA,1997,0.7519387
United States,USA,1998,0.7359522
United States,USA,1999,0.7228039
United States,USA,2000,0.7118926
United States,USA,2001,0.70265573
United States,USA,2002,0.69471204
United States,USA,2003,0.6878715
United States,USA,2004,0.68134654
United States,USA,2005,0.6743542
United States,USA,2006,0.6664672
United States,USA,2007,0.65723336
United States,USA,2008,0.64681643
United States,USA,2009,0.6355854
United States,USA,2010,0.62417614
United States,USA,2011,0.61317694
United States,USA,2012,0.6031683
United States,USA,2013,0.5942838
United States,USA,2014,0.5862161
United States,USA,2015,0.5787351
United States,USA,2016,0.57161707
United States,USA,2017,0.5647744
United States,USA,2018,0.5582502
United States,USA,2019,0.55208313
United States,USA,2020,0.5465108
United States,USA,2021,0.54129946
United States,USA,2022,0.5352755
Venezuela,VEN,1951,8.336978
Venezuela,VEN,1952,8.001812
Venezuela,VEN,1953,7.679448
Venezuela,VEN,1954,7.3853645
Venezuela,VEN,1955,7.099826
Venezuela,VEN,1956,6.821222
Venezuela,VEN,1957,6.568975
Venezuela,VEN,1958,6.330702
Venezuela,VEN,1959,6.1196094
Venezuela,VEN,1960,5.9318113
Venezuela,VEN,1961,5.761848
Venezuela,VEN,1962,5.614576
Venezuela,VEN,1963,5.495311
Venezuela,VEN,1964,5.3898497
Venezuela,VEN,1965,5.29563
Venezuela,VEN,1966,5.210696
Venezuela,VEN,1967,5.128007
Venezuela,VEN,1968,5.0377264
Venezuela,VEN,1969,4.941201
Venezuela,VEN,1970,4.834943
Venezuela,VEN,1971,4.7157755
Venezuela,VEN,1972,4.590281
Venezuela,VEN,1973,4.4643245
Venezuela,VEN,1974,4.3398585
Venezuela,VEN,1975,4.2189484
Venezuela,VEN,1976,4.0930033
Venezuela,VEN,1977,3.9593613
Venezuela,VEN,1978,3.8235898
Venezuela,VEN,1979,3.6854591
Venezuela,VEN,1980,3.550909
Venezuela,VEN,1981,3.4202938
Venezuela,VEN,1982,3.2993178
Venezuela,VEN,1983,3.1867223
Venezuela,VEN,1984,3.0843105
Venezuela,VEN,1985,2.9851139
Venezuela,VEN,1986,2.8861456
Venezuela,VEN,1987,2.7816901
Venezuela,VEN,1988,2.6742299
Venezuela,VEN,1989,2.5682497
Venezuela,VEN,1990,2.4723194
Venezuela,VEN,1991,2.3932443
Venezuela,VEN,1992,2.3326752
Venezuela,VEN,1993,2.2885668
Venezuela,VEN,1994,2.253985
Venezuela,VEN,1995,2.213338
Venezuela,VEN,1996,2.1517668
Venezuela,VEN,1997,2.0721815
Venezuela,VEN,1998,1.9865596
Venezuela,VEN,1999,1.9053125
Venezuela,VEN,2000,1.8336023
Venezuela,VEN,2001,1.7792927
Venezuela,VEN,2002,1.7363278
Venezuela,VEN,2003,1.6916968
Venezuela,VEN,2004,1.639588
Venezuela,VEN,2005,1.5863159
Venezuela,VEN,2006,1.5371878
Venezuela,VEN,2007,1.4979069
Venezuela,VEN,2008,1.4734732
Venezuela,VEN,2009,1.4650028
Venezuela,VEN,2010,1.4686793
Venezuela,VEN,2011,1.4800848
Venezuela,VEN,2012,1.4983548
Venezuela,VEN,2013,1.5250342
Venezuela,VEN,2014,1.5579184
Venezuela,VEN,2015,1.655604
Venezuela,VEN,2016,2.11826
Venezuela,VEN,2017,2.1180835
Venezuela,VEN,2018,2.1181026
Venezuela,VEN,2019,2.1181026
Venezuela,VEN,2020,2.1181026
Venezuela,VEN,2021,2.1181026
Venezuela,VEN,2022,2.1181026
World,OWID_WRL,1990,6.3701353
World,OWID_WRL,1991,6.354481
World,OWID_WRL,1992,6.2823253
World,OWID_WRL,1993,6.200623
World,OWID_WRL,1994,6.1271057
World,OWID_WRL,1995,6.014974
World,OWID_WRL,1996,5.89688
World,OWID_WRL,1997,5.769141
World,OWID_WRL,1998,5.6302176
World,OWID_WRL,1999,5.483042
World,OWID_WRL,2000,5.3048453
World,OWID_WRL,2001,5.1595597
World,OWID_WRL,2002,4.9948044
World,OWID_WRL,2003,4.814475
World,OWID_WRL,2004,4.6462812
World,OWID_WRL,2005,4.4697256
World,OWID_WRL,2006,4.3012285
World,OWID_WRL,2007,4.139979
World,OWID_WRL,2008,3.9916558
World,OWID_WRL,2009,3.8501678
World,OWID_WRL,2010,3.7325902
World,OWID_WRL,2011,3.6123974
World,OWID_WRL,2012,3.4735367
World,OWID_WRL,2013,3.3829803
World,OWID_WRL,2014,3.2687027
World,OWID_WRL,2015,3.1970174
World,OWID_WRL,2016,3.1038432
World,OWID_WRL,2017,3.022492
World,OWID_WRL,2018,2.9967136
World,OWID_WRL,2019,2.941806
World,OWID_WRL,2020,2.9111753
World,OWID_WRL,2021,2.863489
World,OWID_WRL,2022,2.7943473
