Country,Year,Fertility Rate,Average Years of Education Ages 15-64,Population
South Korea,1965,4.887,4.52,29284343.0
South Korea,1966,4.782,,29845940.0
South Korea,1967,4.615,,30495724.0
South Korea,1968,4.51,,31175295.0
South Korea,1969,4.447,,31852769.0
South Korea,1970,4.459,5.49,32542203.0
South Korea,1971,4.259,,33239860.0
South Korea,1972,4.02,,33936471.0
South Korea,1973,3.803,,34625845.0
South Korea,1974,3.555,,35287832.0
South Korea,1975,3.313,6.56,35875741.0
South Korea,1976,3.119,,36379927.0
South Korea,1977,2.954,,36843638.0
South Korea,1978,2.699,,37281937.0
South Korea,1979,2.748,,37710898.0
South Korea,1980,2.734,7.69,38141109.0
South Korea,1981,2.669,,38689193.0
South Korea,1982,2.431,,39356158.0
South Korea,1983,2.102,,40000944.0
South Korea,1984,1.832,,40598301.0
South Korea,1985,1.705,8.67,41148957.0
South Korea,1986,1.623,,41718508.0
South Korea,1987,1.571,,42322092.0
South Korea,1988,1.558,,42922979.0
South Korea,1989,1.564,,43524764.0
South Korea,1990,1.603,9.75,44081425.0
South Korea,1991,1.702,,44439149.0
South Korea,1992,1.738,,44653700.0
South Korea,1993,1.683,,44887722.0
South Korea,1994,1.67,,45130842.0
South Korea,1995,1.646,10.55,45368425.0
South Korea,1996,1.599,,45638701.0
South Korea,1997,1.555,,45941541.0
South Korea,1998,1.497,,46230883.0
South Korea,1999,1.469,,46500382.0
South Korea,2000,1.467,11.3,46766659.0
South Korea,2001,1.342,,47043466.0
South Korea,2002,1.227,,47299118.0
South Korea,2003,1.199,,47514158.0
South Korea,2004,1.164,,47697076.0
South Korea,2005,1.115,11.92,47851646.0
South Korea,2006,1.145,,48006518.0
South Korea,2007,1.215,,48178122.0
South Korea,2008,1.19,,48356486.0
South Korea,2009,1.178,,48546689.0
South Korea,2010,1.226,12.65,48769330.0
South Korea,2011,1.258,,49127641.0
South Korea,2012,1.274,,49599579.0
South Korea,2013,1.206,,50071168.0
South Korea,2014,1.197,,50539055.0
South Korea,2015,1.202,13.16,50983908.0
South Korea,2016,1.14,,51297837.0
South Korea,2017,1.035,,51486268.0
South Korea,2018,0.951,,51640894.0
South Korea,2019,0.881,,51767843.0
South Korea,2020,0.812,13.65,51858480.0
South Korea,2021,0.783,,51848401.0
South Korea,2022,0.78,,51782514.0
South Korea,2023,0.72,,51748744.0
United States,1950,3.086,8.87,154202683.0
United States,1951,3.197,,156481322.0
United States,1952,3.29,,158794225.0
United States,1953,3.358,,161168319.0
United States,1954,3.475,,163636304.0
United States,1955,3.515,9.26,166200030.0
United States,1956,3.624,,168824963.0
United States,1957,3.703,,171499235.0
United States,1958,3.754,,174215305.0
United States,1959,3.747,,177145772.0
United States,1960,3.732,9.72,180274554.0
United States,1961,3.691,,183489491.0
United States,1962,3.533,,186724277.0
United States,1963,3.39,,189825228.0
United States,1964,3.258,,192819456.0
United States,1965,2.983,10.46,195653775.0
United States,1966,2.769,,198265397.0
United States,1967,2.605,,200699913.0
United States,1968,2.508,,203011021.0
United States,1969,2.504,,205300032.0
United States,1970,2.515,11.12,207796339.0
United States,1971,2.318,,210426424.0
United States,1972,2.057,,212842574.0
United States,1973,1.921,,215006548.0
United States,1974,1.872,,217076474.0
United States,1975,1.815,11.68,219129300.0
United States,1976,1.785,,221168756.0
United States,1977,1.826,,223259417.0
United States,1978,1.804,,225396098.0
United States,1979,1.843,,227575083.0
United States,1980,1.861,12.2,229858654.0
United States,1981,1.847,,232201613.0
United States,1982,1.855,,234583158.0
United States,1983,1.827,,236986362.0
United States,1984,1.827,,239353968.0
United States,1985,1.854,12.37,241690439.0
United States,1986,1.852,,243953810.0
United States,1987,1.885,,246161292.0
United States,1988,1.942,,248393235.0
United States,1989,2.014,,250675047.0
United States,1990,2.072,12.62,253373385.0
United States,1991,2.059,,256471425.0
United States,1992,2.039,,259606020.0
United States,1993,2.01,,262633235.0
United States,1994,1.988,,265474811.0
United States,1995,1.965,12.82,268205794.0
United States,1996,1.96,,270860696.0
United States,1997,1.956,,273468014.0
United States,1998,1.98,,276119323.0
United States,1999,1.99,,278785482.0
United States,2000,2.03,13.16,281484127.0
United States,2001,2.011,,284279629.0
United States,2002,2.003,,287084336.0
United States,2003,2.025,,289908091.0
United States,2004,2.031,,292786247.0
United States,2005,2.04,13.11,295716665.0
United States,2006,2.087,,298730210.0
United States,2007,2.096,,301844227.0
United States,2008,2.053,,304970328.0
United States,2009,1.987,,308023451.0
United States,2010,1.916,13.35,311062786.0
United States,2011,1.879,,314105078.0
United States,2012,1.862,,317115348.0
United States,2013,1.84,,320110753.0
United States,2014,1.848,,323115378.0
United States,2015,1.832,13.37,326126498.0
United States,2016,1.804,,329179421.0
United States,2017,1.753,,332204656.0
United States,2018,1.715,,335056495.0
United States,2019,1.684,,337790068.0
United States,2020,1.616,13.42,339436157.0
United States,2021,1.634,,340161441.0
United States,2022,1.665,,341534041.0
United States,2023,1.624,,343477332.0
Venezuela,1950,6.635,1.38,5488857.0
Venezuela,1951,6.619,,5732602.0
Venezuela,1952,6.612,,5981378.0
Venezuela,1953,6.607,,6234772.0
Venezuela,1954,6.602,,6492813.0
Venezuela,1955,6.599,1.67,6755819.0
Venezuela,1956,6.596,,7024322.0
Venezuela,1957,6.588,,7299443.0
Venezuela,1958,6.567,,7581980.0
Venezuela,1959,6.446,,7869229.0
Venezuela,1960,6.382,2.09,8160085.0
Venezuela,1961,6.298,,8455922.0
Venezuela,1962,6.231,,8756880.0
Venezuela,1963,6.155,,9064020.0
Venezuela,1964,6.071,,9377715.0
Venezuela,1965,5.977,2.51,9697795.0
Venezuela,1966,5.87,,10024859.0
Venezuela,1967,5.748,,10358515.0
Venezuela,1968,5.614,,10697536.0
Venezuela,1969,5.469,,11040280.0
Venezuela,1970,5.321,3.31,11387793.0
Venezuela,1971,5.174,,11741013.0
Venezuela,1972,5.035,,12099184.0
Venezuela,1973,4.906,,12463538.0
Venezuela,1974,4.791,,12835356.0
Venezuela,1975,4.686,4.32,13215889.0
Venezuela,1976,4.589,,13606285.0
Venezuela,1977,4.494,,14006819.0
Venezuela,1978,4.397,,14416681.0
Venezuela,1979,4.298,,14834552.0
Venezuela,1980,4.2,5.31,15258226.0
Venezuela,1981,4.104,,15687305.0
Venezuela,1982,4.014,,16121875.0
Venezuela,1983,3.933,,16562202.0
Venezuela,1984,3.861,,17008838.0
Venezuela,1985,3.794,5.26,17461432.0
Venezuela,1986,3.73,,17923541.0
Venezuela,1987,3.665,,18394970.0
Venezuela,1988,3.597,,18871020.0
Venezuela,1989,3.524,,19348925.0
Venezuela,1990,3.448,5.34,19827007.0
Venezuela,1991,3.37,,20304898.0
Venezuela,1992,3.292,,20780945.0
Venezuela,1993,3.218,,21254524.0
Venezuela,1994,3.147,,21725187.0
Venezuela,1995,3.082,6.2,22193822.0
Venezuela,1996,3.022,,22662116.0
Venezuela,1997,2.967,,23131691.0
Venezuela,1998,2.912,,23601340.0
Venezuela,1999,2.856,,24066596.0
Venezuela,2000,2.79,7.14,24526708.0
Venezuela,2001,2.779,,24979933.0
Venezuela,2002,2.739,,25435673.0
Venezuela,2003,2.703,,25892711.0
Venezuela,2004,2.639,,26340843.0
Venezuela,2005,2.629,8.03,26785797.0
Venezuela,2006,2.595,,27224691.0
Venezuela,2007,2.524,,27649367.0
Venezuela,2008,2.475,,28053694.0
Venezuela,2009,2.422,,28438296.0
Venezuela,2010,2.396,9.14,28813101.0
Venezuela,2011,2.398,,29185219.0
Venezuela,2012,2.379,,29553828.0
Venezuela,2013,2.334,,29912196.0
Venezuela,2014,2.296,,30254080.0
Venezuela,2015,2.253,9.35,30573970.0
Venezuela,2016,2.217,,30765718.0
Venezuela,2017,2.183,,30565331.0
Venezuela,2018,2.151,,29807592.0
Venezuela,2019,2.131,,28938095.0
Venezuela,2020,2.116,9.66,28444078.0
Venezuela,2021,2.105,,28237831.0
Venezuela,2022,2.088,,28213016.0
Venezuela,2023,2.079,,28300860.0
