Series Name,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),"Venezuela, RB",VEN,2033.519008,2078.15342,2309.192935,2585.220511,2727.137466,3256.649087,3874.404706,4228.098815,4201.542835,4078.942331,3519.801465,3548.704343,3376.349606,2610.988371,3191.476337,2250.084597,2451.552311,2632.539698,2907.303344,2824.691444,2688.983251,3486.983506,3112.825848,3710.826884,3869.982588,4070.906192,4776.281676,4920.393136,3652.098965,3229.505571,4269.089709,5432.485418,6739.380653,8331.62097,11262.45143,11596.60219,13646.30466,10843.92297,12901.41716,12403.1467,15943.61272,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),"Iran, Islamic Rep.",IRN,1408.965719,1531.706171,1953.519697,2243.055595,2100.770153,2352.426552,2368.392857,2393.449856,2844.876114,3397.0614,3395.336976,3634.032096,4064.346673,2513.151116,2234.462351,2124.972148,2137.942227,2194.439068,1957.485078,1038.109857,1167.762725,1550.009596,1914.781213,1790.066176,1709.193341,1739.59462,1650.013858,1881.022666,1891.257561,2208.996366,2672.422665,3132.050819,3618.916014,4687.991663,5377.411507,5415.522806,6291.194437,8025.687434,8114.080998,6222.741948,5672.063729,4952.733555,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224,4334.792686,4405.092915,4465.63767
GDP per capita (current US$),Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2256.773604,2360.171482,2609.893087,2893.799987,3063.897946,3278.178964,3504.618295,4003.609358,4914.579928,6109.732652,7283.787381,9211.737447,13370.97895,15677.60809,11996.03227,11188.41917,12902.57405,13329.34999,14484.47153,15185.81458,13321.97531,13838.52668,15132.49583,17252.17104,17294.97516,17564.23215,20262.84339,20229.46136,22502.84299
GDP per capita (current US$),Panama,PAN,1296.447593,1405.748997,1456.500097,1503.265034,1738.487637,1937.981075,2357.09132,2605.455299,2811.406437,2819.351285,2874.948321,2972.180707,3019.481505,2966.009679,2508.782293,2462.110225,2620.138273,2820.545477,3139.899529,3358.414117,3508.195701,3513.897379,3308.184296,3545.976709,3807.838692,3950.34145,3975.093087,3991.776708,4090.586174,4264.664288,4644.565824,5017.741092,5528.767055,6317.817303,7347.590503,7796.92617,8331.464214,9662.295922,11064.80636,12273.3225,13213.19896,14082.65485,14832.36116,15694.62975,16151.32735,16477.90663,13290.56083,15509.80691,17332.43607,18686.4051
GDP per capita (current US$),Ethiopia,ETH,147.8557225,144.2805376,151.9561866,170.4041437,178.3024806,192.3571173,203.6853944,212.657518,215.2509855,232.6834744,214.2288604,243.8973826,245.9772288,254.1213294,253.2482625,256.3864753,262.1089711,277.5659104,207.4064009,168.5204014,127.6859235,136.5236191,147.3274589,143.3695315,126.4650958,120.7346315,122.2692026,118.4572043,109.5938136,116.8004911,133.1698125,158.2434581,189.3457375,237.146256,316.4104751,368.5747123,330.6194128,343.0249424,452.1010319,484.0398331,549.9865771,621.8456738,696.1958847,745.6324492,747.9681436,828.7089723,905.3131758,910.9478403,1011.073286,1272.016282
GDP per capita (current US$),World,WLD,1358.909211,1485.241767,1585.850228,1761.677018,2049.371508,2328.824835,2580.15366,2621.240142,2547.34637,2553.968251,2606.960935,2682.826636,3107.562905,3474.590175,3814.11018,3914.759662,4337.862517,4437.537092,4661.973917,4664.794146,4944.722286,5430.078974,5472.953822,5375.474388,5289.033108,5387.448275,5494.398872,5387.584998,5521.932034,6112.918401,6800.190299,7271.026626,7780.409624,8657.730378,9392.542294,8793.141157,9514.760302,10454.23787,10550.13813,10718.52308,10881.33083,10142.14348,10188.26006,10731.65547,11288.88426,11334.84309,10916.68767,12352.73608,12737.31503,13169.59823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 01/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
